state,total population,% White,% Black,% Asian,% Hispanic,Union Membership,Urbanization,% Buddhist,% Jewish,% Hindu,% Muslim,% Christian,% with College Degree,Median Age,Election Result
Alabama,5108468,64.7,25.4,2.1,5.7,7.5,57.7,1.0,1.0,1.0,1.0,88.0,26.70353184937652,39.5,30.499999999999993
Alaska,733406,59.6,2.9,9.1,7.5,14.8,64.9,1.0,1.0,1.0,1.0,64.0,28.979858328563253,36.1,14.200000000000003
Arizona,7431344,58.3,4.8,5.3,31.6,4.2,89.3,1.0,2.0,1.0,1.0,67.0,30.853003581276862,39.2,5.5
Arkansas,3067732,68.9,14.4,2.2,9.1,5.1,55.5,1.0,1.0,1.0,2.0,81.0,24.29899473707338,38.7,30.700000000000003
California,38965193,38.5,5.4,18.4,40.4,15.4,94.2,2.0,2.0,2.0,1.0,63.0,34.63942645970907,38.2,-20.5
Colorado,5877610,70.4,3.9,5.1,22.7,6.9,86.0,1.0,1.0,1.0,1.0,63.0,42.82935462927449,37.9,-11.100000000000001
Connecticut,3617176,64.5,10.9,5.9,18.6,15.9,86.3,1.0,3.0,1.0,1.0,71.0,40.2021452715308,41.3,-14.5
Delaware,1031890,59.3,22.5,5.1,11.1,8.8,82.6,1.0,3.0,2.0,1.0,71.0,33.69936521680803,41.9,-14.700000000000003
District of Columbia,678972,38.8,40.9,6.4,12.0,9.1,100.0,1.0,5.0,1.0,2.0,65.0,61.64240486853013,34.9,-83.7
Florida,22610726,55.5,14.9,4.1,27.4,4.7,91.5,1.0,3.0,1.0,1.0,70.0,32.621344898531184,42.8,13.100000000000001
Georgia,11029227,50.3,30.8,5.5,11.1,4.6,74.1,1.0,1.0,1.0,1.0,79.0,32.4191786604612,37.7,2.200000000000003
Hawaii,1435138,21.9,1.7,57.0,10.1,24.1,86.1,8.0,1.0,1.0,1.0,63.0,34.329433227221706,41.3,-23.1
Idaho,1964726,81.7,0.8,2.8,13.8,4.5,69.2,1.0,1.0,1.0,1.0,69.0,28.957943317081963,37.6,36.50000000000001
Illinois,12549689,60.7,13.3,7.1,19.0,12.8,86.9,1.0,2.0,1.0,1.0,74.0,35.68738702091843,39.4,-9.800000000000004
Indiana,6862199,76.7,9.0,3.3,8.7,8.0,71.2,1.0,1.0,1.0,1.0,73.0,28.043908944268004,38.2,19.200000000000003
Iowa,3207004,84.2,4.0,3.1,7.3,7.2,63.2,1.0,1.0,1.0,1.0,81.0,29.15246969824583,38.9,13.199999999999996
Kansas,2940546,75.9,5.3,3.9,13.7,8.9,72.3,1.0,1.0,1.0,1.0,78.0,32.83532620487421,37.7,16.200000000000003
Kentucky,4526154,82.5,7.5,2.1,4.9,8.8,58.7,1.0,1.0,1.0,1.0,78.0,25.92313319677204,39.4,30.699999999999996
Louisiana,4573749,56.7,30.3,2.5,7.1,4.3,71.5,1.0,1.0,1.0,1.0,86.0,24.873081118407388,38.4,22.0
Maine,1395722,90.1,1.8,2.0,2.2,9.2,38.6,1.0,2.0,1.0,1.0,62.0,34.76369284069485,44.8,-7.099999999999994
Maryland,6180253,47.9,29.2,8.2,12.6,10.7,85.6,1.0,3.0,1.0,1.0,70.0,40.60919264634752,39.7,-26.800000000000004
Massachusetts,7001399,67.9,7.0,8.6,13.5,12.6,91.3,1.0,3.0,1.0,1.0,58.0,44.58082742634223,40.3,-24.5
Michigan,10037261,73.8,13.2,4.3,6.0,12.8,73.5,1.0,1.0,1.0,1.0,72.0,30.35238728413393,40.4,1.4000000000000057
Minnesota,5737915,76.7,7.2,6.4,6.4,13.3,71.9,1.0,1.0,1.0,1.0,75.0,37.30973184422927,39.1,-4.200000000000003
Mississippi,2939690,55.6,35.6,1.6,3.7,7.0,46.3,1.0,1.0,1.0,1.0,84.0,23.40517987543145,38.7,24.0
