State,Buddhist,Catholic,Evangelical Protestant,Hindu,Historically Black Protestant,Jehovah's Witness,Jewish,Mainline Protestant,Mormon,Muslim,Orthodox Christian,Other Christian,Other Faiths,Other World Religions,Unaffiliated (religious "nones"),Don't know,Sample size
Alabama,< 1%,7%,49%,< 1%,16%,< 1%,< 1%,13%,1%,< 1%,< 1%,< 1%,1%,< 1%,12%,1%,511
Alaska,1%,16%,22%,< 1%,3%,< 1%,< 1%,12%,5%,< 1%,5%,< 1%,4%,1%,31%,1%,310
Arizona,1%,21%,26%,1%,1%,1%,2%,12%,5%,1%,< 1%,< 1%,2%,< 1%,27%,< 1%,653
Arkansas,< 1%,8%,46%,< 1%,8%,< 1%,< 1%,16%,1%,2%,< 1%,< 1%,1%,< 1%,18%,< 1%,311
California,2%,28%,20%,2%,2%,1%,2%,10%,1%,1%,1%,1%,2%,1%,27%,1%,3697
Colorado,1%,16%,26%,< 1%,2%,< 1%,1%,15%,2%,< 1%,1%,1%,2%,< 1%,29%,2%,504
Connecticut,1%,33%,13%,1%,5%,< 1%,3%,17%,1%,1%,1%,1%,2%,< 1%,23%,1%,377
Delaware,< 1%,22%,15%,2%,10%,< 1%,3%,21%,< 1%,1%,1%,< 1%,1%,< 1%,23%,1%,301
District of Columbia,< 1%,20%,8%,1%,23%,< 1%,5%,10%,2%,2%,1%,< 1%,1%,< 1%,25%,1%,303
Florida,< 1%,21%,24%,< 1%,8%,1%,3%,14%,1%,< 1%,< 1%,1%,2%,< 1%,24%,< 1%,2020
Georgia,< 1%,9%,38%,< 1%,17%,2%,1%,12%,1%,< 1%,< 1%,< 1%,2%,< 1%,18%,1%,968
Hawaii,8%,20%,25%,< 1%,2%,1%,< 1%,11%,3%,< 1%,< 1%,1%,1%,< 1%,26%,1%,312
Idaho,< 1%,10%,21%,< 1%,< 1%,< 1%,< 1%,16%,19%,1%,1%,< 1%,2%,< 1%,27%,1%,320
Illinois,1%,28%,20%,1%,7%,1%,2%,16%,< 1%,1%,1%,< 1%,1%,< 1%,22%,1%,1326
Indiana,< 1%,18%,31%,< 1%,5%,< 1%,1%,16%,1%,< 1%,< 1%,< 1%,1%,< 1%,26%,< 1%,654
Iowa,< 1%,18%,28%,< 1%,2%,< 1%,< 1%,30%,< 1%,1%,< 1%,< 1%,< 1%,< 1%,21%,1%,330
Kansas,1%,18%,31%,< 1%,2%,1%,< 1%,24%,1%,1%,< 1%,< 1%,2%,< 1%,20%,< 1%,307
Kentucky,< 1%,10%,49%,< 1%,5%,< 1%,< 1%,11%,< 1%,< 1%,< 1%,< 1%,2%,< 1%,22%,< 1%,439
Louisiana,1%,26%,27%,< 1%,22%,1%,< 1%,8%,< 1%,< 1%,< 1%,1%,1%,< 1%,13%,< 1%,465
Maine,1%,21%,14%,< 1%,2%,< 1%,2%,21%,2%,< 1%,< 1%,1%,5%,< 1%,31%,2%,303
Maryland,1%,15%,18%,1%,16%,< 1%,3%,18%,1%,1%,1%,1%,2%,< 1%,23%,< 1%,644
Massachusetts,1%,34%,9%,1%,2%,< 1%,3%,10%,1%,1%,1%,< 1%,2%,< 1%,32%,1%,704
Michigan,1%,18%,25%,< 1%,8%,1%,1%,18%,< 1%,1%,< 1%,1%,1%,< 1%,24%,1%,982
Minnesota,< 1%,22%,19%,< 1%,2%,< 1%,1%,29%,1%,1%,< 1%,< 1%,1%,1%,20%,2%,563
Mississippi,< 1%,4%,41%,< 1%,24%,< 1%,< 1%,12%,1%,< 1%,< 1%,< 1%,1%,< 1%,14%,1%,309
Missouri,1%,16%,36%,< 1%,6%,< 1%,< 1%,16%,1%,< 1%,< 1%,< 1%,1%,< 1%,20%,< 1%,642
Montana,1%,17%,28%,< 1%,< 1%,1%,< 1%,14%,4%,< 1%,1%,< 1%,4%,< 1%,30%,< 1%,312
Nebraska,1%,23%,25%,1%,2%,< 1%,< 1%,24%,1%,< 1%,< 1%,< 1%,1%,< 1%,20%,1%,312
Nevada,< 1%,25%,20%,< 1%,5%,1%,2%,10%,4%,< 1%,1%,< 1%,3%,< 1%,28%,1%,314
