state,Population 18 to 24 years,Bachelor's degree or higher,Population 25 years and over,Bachelor's degree or higher,total population,Population with Bachelor's degree,Percent With Degree
Alabama,479855,51646,3498967,1010840,3978822,1062486,26.70353184937652
Alaska,65148,2802,493892,159207,559040,162009,28.979858328563253
Arizona,701011,79175,5150254,1726116,5851265,1805291,30.853003581276866
Arkansas,288490,31075,2078254,544020,2366744,575095,24.29899473707338
California,3558215,464352,26969649,10110325,30527864,10574677,34.63942645970907
Colorado,531807,78759,4135123,1920057,4666930,1998816,42.82935462927449
Connecticut,334630,65357,2559922,1098315,2894552,1163672,40.202145271530796
Delaware,88538,9621,731427,266702,819965,276323,33.69936521680803
District of Columbia,69527,22084,482919,318457,552446,340541,61.64240486853013
Florida,1809840,213535,16421870,5733894,18231710,5947429,32.621344898531184
Georgia,1046760,116175,7448119,2637795,8494879,2753970,32.4191786604612
Hawaii,116354,12576,1024897,379209,1141251,391785,34.329433227221706
Idaho,192631,14200,1305704,419687,1498335,433887,28.957943317081963
Illinois,1137066,180142,8710996,3334374,9848062,3514516,35.68738702091843
Indiana,666323,86683,4614970,1394398,5281293,1481081,28.043908944268004
Iowa,315032,39906,2166425,683500,2481457,723406,29.15246969824583
Kansas,297531,39324,1956252,700713,2253783,740037,32.83532620487421
Kentucky,407142,45782,3107275,865265,3514417,911047,25.923133196772042
Louisiana,407420,35605,3102893,837518,3510313,873123,24.873081118407388
Maine,110484,15220,1039460,384543,1149944,399763,34.76369284069485
Maryland,523893,77904,4297439,1880000,4821332,1957904,40.60919264634752
Massachusetts,684808,146048,4975152,2377209,5659960,2523257,44.58082742634223
Michigan,918934,116108,7007856,2289862,7926790,2405970,30.35238728413393
Minnesota,501365,81443,3941575,1576206,4442940,1657649,37.30973184422927
Mississippi,284309,24328,1980147,505672,2264456,530000,23.40517987543145
Missouri,569007,73377,4255810,1413984,4824817,1487361,30.82730391639724
Montana,101405,9846,795845,275535,897250,285381,31.80618556701031
Nebraska,192539,25617,1307246,461280,1499785,486897,32.464453238297494
Nevada,256407,22845,2253253,647151,2509660,669996,26.69668401297387
New Hampshire,120374,18090,1030965,420101,1151339,438191,38.0592510112139
New Jersey,770595,156384,6511081,2850285,7281676,3006669,41.290892371481505
New Mexico,194756,17810,1471057,465561,1665813,483371,29.017122570180447
New York,1735312,339714,13885155,5642907,15620467,5982621,38.299885656427556
North Carolina,1025440,137440,7487552,2754921,8512992,2892361,33.97584539019889
North Dakota,84320,11353,520006,174474,604326,185827,30.749463038161522
Ohio,1042622,133015,8172692,2618045,9215314,2751060,29.85313359913726
Oklahoma,403659,36088,2684421,770810,3088080,806898,26.12943965182249
Oregon,352882,41990,3050675,1148638,3403557,1190628,34.98187337541284
Pennsylvania,1166048,156450,9171006,3241343,10337054,3397793,32.87003240962077
Rhode Island,106212,16703,786493,307099,892705,323802,36.27200474960933
South Carolina,485923,53232,3745394,1232848,4231317,1286080,30.394319310039876
South Dakota,84994,10271,615517,204967,700511,215238,30.725855839522865
Tennessee,631162,91386,4931967,1562612,5563129,1653998,29.731433515203403
Texas,2933597,331977,20029447,6858406,22963044,7190383,31.312847721756746
Utah,398810,35592,2085019,800376,2483829,835968,33.656423207877836
Vermont,61383,7705,471255,205807,532638,213512,40.08576181196234
Virginia,806182,127930,6037339,2561362,6843521,2689292,39.29690578870146
Washington,654491,94833,5511197,2229338,6165688,2324171,37.69524179621155
West Virginia,159210,15445,1259219,302079,1418429,317524,22.385611123292037
Wisconsin,550661,74218,4116216,1389399,4666877,1463617,31.361807907086476
Wyoming,50239,4267,403853,122876,454092,127143,27.99939219365239
